,_id,product_name,product_searched,price,offer_details,discount_percent,EMI,rating,comment,customer_name,review_age
0,63d6a75281399868fd8e5a5b,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,5,Best in the market!,Santosh R,3 months ago
1,63d6a75781399868fd8e5a5d,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,5,Classy product,Christin Sebastian,6 months ago
2,63d6a75c81399868fd8e5a5f,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,1,Unsatisfactory,Kamal Sai,2 months ago
3,63d6a76181399868fd8e5a61,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,5,Mind-blowing purchase,C.Naveen Kumar,6 months ago
4,63d6a76681399868fd8e5a63,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,5,Classy product,K A R T H I K .,5 months ago
5,63d6a76b81399868fd8e5a65,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,2,Moderate,Surinder Pal,5 months ago
6,63d6a77081399868fd8e5a67,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,5,Simply awesome,Vishnu Vardhan,2 months ago
7,63d6a77481399868fd8e5a69,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,5,Must buy!,amit kumar singh,5 months ago
8,63d6a77a81399868fd8e5a6b,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,5,Brilliant,Pratik Gohel,2 months ago
9,63d6a77e81399868fd8e5a6d,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,4,Pretty good,Debasish paul,4 months ago
10,63d6a78581399868fd8e5a6f,Xiaomi 360 degree Home Security Camera 1080p 2i Security Camera  (3 Channel),xiaomi,"₹2,999","['Bank Offer5% Cashback on Flipkart Axis Bank CardT&C', 'Buy this Product and Get Extra ₹500 Off on Two-WheelersT&C', 'Partner OfferBuy this product and get upto ₹500 off on Flipkart FurnitureKnow More', 'View 4 more offers']",33% off,NO EMI Plans,5,Terrific,Shamim Ahmed,4 months ago
